School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Grand Concourse Academy Charter School,"#14,240 Best Public Elementary Schools in America",Bronx,NY,K-6,1.0,1,B+,485,13:1,2019-03-19 01:01:35.273712
Niagara-Wheatfield Senior High School,"#4,343 Best Public High Schools in America",Niagara-Wheatfield Central School District,NY,9-12,3.0,53,B+,"1,254",18:1,2019-03-19 01:01:35.273718
Clara H Carlson School,"#14,265 Best Public Elementary Schools in America",Elmont Union Free School District,NY,"PK, K-6",nan,nan,B+,864,14:1,2019-03-19 01:01:35.273726
MS 224 - Manhattan East School for Arts & Academics,"#5,157 Best Public Middle Schools in America",New York City Geographic District No. 4,NY,6-8,5.0,1,B+,166,14:1,2019-03-19 01:01:35.273732
William C Munn School,"#14,325 Best Public Elementary Schools in America",Spencerport Central School District,NY,K-5,nan,nan,B+,341,13:1,2019-03-19 01:01:35.273739
Akron Middle School,"#5,189 Best Public Middle Schools in America",Akron Central School District,NY,6-8,nan,nan,B+,358,15:1,2019-03-19 01:01:35.273746
Albany Avenue School,"#14,339 Best Public Elementary Schools in America",Lindenhurst Union Free School District,NY,K-5,nan,nan,B+,423,17:1,2019-03-19 01:01:35.273752
Iroquois Intermediate School,"#14,349 Best Public Elementary Schools in America",Iroquois Central School District,NY,nan,nan,nan,B+,181,18:1,2019-03-19 01:01:35.273758
New York Mills Elementary School,"#14,362 Best Public Elementary Schools in America",New York Mills Union Free School District,NY,K-6,nan,nan,B+,279,14:1,2019-03-19 01:01:35.273764
PS 186 - Dr Irving A Gladstone,"#14,366 Best Public Elementary Schools in America",New York City Geographic District No. 20,NY,"PK, K-5",5.0,2,B+,995,16:1,2019-03-19 01:01:35.273771
Longwood Middle School,"#5,204 Best Public Middle Schools in America",Longwood Central School District,NY,5-6,2.5,2,B+,"1,335",15:1,2019-03-19 01:01:35.273779
PS 209 - Margaret Mead,"#14,373 Best Public Elementary Schools in America",New York City Geographic District No. 21,NY,"PK, K-8",nan,nan,B+,704,13:1,2019-03-19 01:01:35.273786
Putnam Valley Elementary School,"#14,389 Best Public Elementary Schools in America",Putnam Valley Central School District,NY,K-4,nan,nan,B+,577,14:1,2019-03-19 01:01:35.273792
CV Starr Intermediate School,"#14,392 Best Public Elementary Schools in America",Brewster Central School District,NY,3-5,nan,nan,B+,658,14:1,2019-03-19 01:01:35.273800
Middle Early College High School,"#4,389 Best Public High Schools in America",Buffalo City School District,NY,9-12,5.0,3,B+,311,13:1,2019-03-19 01:01:35.273806
West Street Elementary School,"#14,405 Best Public Elementary Schools in America",Niagara-Wheatfield Central School District,NY,K-5,nan,nan,B+,419,14:1,2019-03-19 01:01:35.273813
Bloomfield Elementary School,"#14,423 Best Public Elementary Schools in America",East Bloomfield Central School District,NY,"PK, K-5",nan,nan,B+,405,12:1,2019-03-19 01:01:35.273820
Pratt Elementary School,"#14,467 Best Public Elementary Schools in America",Barker Central School District,NY,"PK, K-6",5.0,1,B+,417,16:1,2019-03-19 01:01:35.273827
Central Park East I Elementary School,"#14,472 Best Public Elementary Schools in America",New York City Geographic District No. 4,NY,"PK, K-5",nan,nan,B+,198,15:1,2019-03-19 01:01:35.273834
Edward Town Middle School,"#5,279 Best Public Middle Schools in America",Niagara-Wheatfield Central School District,NY,6-8,nan,nan,B+,852,17:1,2019-03-19 01:01:35.273842
PS 245,"#14,568 Best Public Elementary Schools in America",New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B+,313,13:1,2019-03-19 01:01:35.273849
Grundy Avenue School,"#14,570 Best Public Elementary Schools in America",Sachem Central School District,NY,K-5,nan,nan,B+,445,16:1,2019-03-19 01:01:35.273856
Southwestern Senior High School,"#4,448 Best Public High Schools in America",Southwestern Central School District,NY,9-12,3.5,71,B+,447,14:1,2019-03-19 01:01:35.273863
Cherokee Street Elementary School,"#14,578 Best Public Elementary Schools in America",Connetquot Central School District,NY,K-5,nan,nan,B+,607,15:1,2019-03-19 01:01:35.273870
Birchwood Intermediate School,"#14,585 Best Public Elementary Schools in America",South Huntington Union Free School District,NY,3-5,4.0,1,B+,687,12:1,2019-03-19 01:01:35.273877
Sleepy Hollow Middle School,"#5,303 Best Public Middle Schools in America",Union Free School District of the Tarrytowns,NY,6-8,4.5,2,B+,609,14:1,2019-03-19 01:01:35.273883
Willow Grove Elementary School,"#14,617 Best Public Elementary Schools in America",North Rockland Central School District,NY,4-6,nan,nan,B+,654,15:1,2019-03-19 01:01:35.273891
Okte Elementary School,"#14,634 Best Public Elementary Schools in America",Shenendehowa Central School District,NY,K-5,nan,nan,B+,507,14:1,2019-03-19 01:01:35.273898
Hunters Point Community Middle School,"#5,319 Best Public Middle Schools in America",New York City Geographic District No. 30,NY,6-8,4.0,1,B+,371,11:1,2019-03-19 01:01:35.273904
William H Barton Intermediate School,"#14,640 Best Public Elementary Schools in America",Queensbury Union Free School District,NY,4-5,nan,nan,B+,465,15:1,2019-03-19 01:01:35.273911
Stillwater Elementary School,"#14,645 Best Public Elementary Schools in America",Stillwater Central School District,NY,"PK, K-5",nan,nan,B+,506,14:1,2019-03-19 01:01:35.273926
Van Buren Elementary School,"#14,660 Best Public Elementary Schools in America",Baldwinsville Central School District,NY,K-5,3.0,1,B+,477,15:1,2019-03-19 01:01:35.273934
Island Trees High School,"#4,478 Best Public High Schools in America",Island Trees Union Free School District,NY,9-12,4.0,162,B+,731,12:1,2019-03-19 01:01:35.273940
William E Deluca Jr Elementary School,"#14,675 Best Public Elementary Schools in America",North Babylon Union Free School District,NY,K-5,nan,nan,B+,442,14:1,2019-03-19 01:01:35.273947
PS 193 - Gil Hodges,"#14,689 Best Public Elementary Schools in America",New York City Geographic District No. 22,NY,"PK, K-5",4.5,2,B+,878,15:1,2019-03-19 01:01:35.273954
Richard H O&aposRourke Middle School,"#5,335 Best Public Middle Schools in America",Burnt Hills-Ballston Lake Central School District,NY,6-8,4.0,1,B+,763,15:1,2019-03-19 01:01:35.273960
Akron High School,"#4,481 Best Public High Schools in America",Akron Central School District,NY,9-12,3.5,68,B+,437,16:1,2019-03-19 01:01:35.273967
Paddy Hill Elementary School,"#14,724 Best Public Elementary Schools in America",Greece Central School District,NY,K-5,nan,nan,B+,545,14:1,2019-03-19 01:01:35.273978
Bridgeport Elementary School,"#14,725 Best Public Elementary Schools in America",Chittenango Central School District,NY,K-4,nan,nan,B+,212,13:1,2019-03-19 01:01:35.273985
Wayne Senior High School,"#4,495 Best Public High Schools in America",Wayne Central School District,NY,9-12,3.5,54,B+,728,11:1,2019-03-19 01:01:35.273992
PS 51 - Elias Howe,"#14,765 Best Public Elementary Schools in America",New York City Geographic District No. 2,NY,"PK, K-8",5.0,1,B+,369,11:1,2019-03-19 01:01:35.273998
Fredonia Middle School,"#5,373 Best Public Middle Schools in America",Fredonia Central School District,NY,5-8,nan,nan,B+,428,11:1,2019-03-19 01:01:35.274005
Pawling Middle School,"#5,386 Best Public Middle Schools in America",Pawling Central School District,NY,5-8,4.0,2,B+,388,12:1,2019-03-19 01:01:35.274025
George Washington School,"#14,851 Best Public Elementary Schools in America",West Hempstead Union Free School District,NY,1-5,nan,nan,B+,360,15:1,2019-03-19 01:01:35.274032
Greenwood Lake Middle School,"#5,393 Best Public Middle Schools in America",Greenwood Lake Union Free School District,NY,4-8,nan,nan,B+,298,10:1,2019-03-19 01:01:35.274039
PS 58 - School of Heroes,"#14,872 Best Public Elementary Schools in America",New York City Geographic District No. 24,NY,"PK, K-6",nan,nan,B+,"1,016",15:1,2019-03-19 01:01:35.274046
Pulaski Road School,"#14,884 Best Public Elementary Schools in America",Northport-East Northport Union Free School District,NY,K-5,3.0,1,B+,361,12:1,2019-03-19 01:01:35.274054
Brooklyn Landmark Elementary School,"#14,900 Best Public Elementary Schools in America",New York City Geographic District No. 23,NY,"PK, K-4",nan,nan,B+,239,15:1,2019-03-19 01:01:35.274060
East Moriches School,"#5,409 Best Public Middle Schools in America",East Moriches Union Free School District,NY,5-8,nan,nan,B+,360,14:1,2019-03-19 01:01:35.274067
Chenango Valley High School,"#4,554 Best Public High Schools in America",Chenango Valley Central School District,NY,9-12,3.5,32,B+,528,16:1,2019-03-19 01:01:35.274074
Geneseo Middle/High School,"#4,559 Best Public High Schools in America",Geneseo Central School District,NY,6-12,3.5,25,B+,470,10:1,2019-03-19 01:01:35.274081
Marcy Elementary School,"#14,948 Best Public Elementary Schools in America",Whitesboro Central School District,NY,K-5,nan,nan,B+,311,12:1,2019-03-19 01:01:35.274088
Newbridge Road School,"#14,967 Best Public Elementary Schools in America",North Bellmore Union Free School District,NY,K-6,nan,nan,B+,362,14:1,2019-03-19 01:01:35.274095
Northwood Elementary School,"#15,005 Best Public Elementary Schools in America",West Seneca Central School District,NY,"PK, K-4",nan,nan,B+,588,16:1,2019-03-19 01:01:35.274102
Kingston High School,"#4,579 Best Public High Schools in America",Kingston City School District,NY,9-12,3.5,218,B+,"1,855",14:1,2019-03-19 01:01:35.274108
Owego Free Academy,"#4,585 Best Public High Schools in America",Owego-Apalachin Central School District,NY,9-12,4.0,42,B+,652,16:1,2019-03-19 01:01:35.274115
Newfield High School,"#4,592 Best Public High Schools in America",Middle Country Central School District,NY,9-12,3.5,242,B+,"1,514",16:1,2019-03-19 01:01:35.274121
Brooklyn Prospect Charter School,"#4,594 Best Public High Schools in America",Brooklyn,NY,K-12,4.0,25,B+,925,11:1,2019-03-19 01:01:35.274128
PS 253 - The Magnet School of Multicultural Humanities,"#15,059 Best Public Elementary Schools in America",New York City Geographic District No. 21,NY,"PK, K-5",nan,nan,B+,869,13:1,2019-03-19 01:01:35.274134
Southold Junior/Senior High School,"#4,601 Best Public High Schools in America",Southold Union Free School District,NY,7-12,3.0,55,B+,394,10:1,2019-03-19 01:01:35.274142
Charter School of Educational Excellence,"#15,077 Best Public Elementary Schools in America",Yonkers,NY,K-8,3.5,4,B+,690,16:1,2019-03-19 01:01:35.274149
Delevan Elementary School,"#15,078 Best Public Elementary Schools in America",Yorkshire-Pioneer Central School District,NY,"PK, K-4",nan,nan,B+,452,13:1,2019-03-19 01:01:35.274155
Lakeview Elementary School,"#15,087 Best Public Elementary Schools in America",Mahopac Central School District,NY,K-5,nan,nan,B+,602,12:1,2019-03-19 01:01:35.274162
South Country School,"#15,108 Best Public Elementary Schools in America",Bay Shore Union Free School District,NY,3-5,nan,nan,B+,568,14:1,2019-03-19 01:01:35.274169
Washington Irving Intermediate School,"#15,123 Best Public Elementary Schools in America",Union Free School District of the Tarrytowns,NY,3-5,nan,nan,B+,626,15:1,2019-03-19 01:01:35.274176
Forest Park Elementary School,"#15,124 Best Public Elementary Schools in America",South Colonie Central School District,NY,K-4,nan,nan,B+,306,12:1,2019-03-19 01:01:35.274182
Russell I Doig Middle School,"#5,507 Best Public Middle Schools in America",Trumansburg Central School District,NY,5-8,nan,nan,B+,317,12:1,2019-03-19 01:01:35.274189
Sequoya Middle School,"#5,518 Best Public Middle Schools in America",Sachem Central School District,NY,6-8,nan,nan,B+,827,15:1,2019-03-19 01:01:35.274195
Cooperstown Junior/Senior High School,"#4,634 Best Public High Schools in America",Cooperstown Central School District,NY,7-12,3.5,22,B+,442,13:1,2019-03-19 01:01:35.274203
Kaegebein School,"#15,179 Best Public Elementary Schools in America",Grand Island Central School District,NY,2-5,1.0,1,B+,379,12:1,2019-03-19 01:01:35.274210
Frank McCourt High School,"#4,646 Best Public High Schools in America",New York City Geographic District No. 3,NY,9-12,3.5,43,B+,387,15:1,2019-03-19 01:01:35.274217
John A Sciole Elementary School,"#15,193 Best Public Elementary Schools in America",Lancaster Central School District,NY,K-3,nan,nan,B+,398,14:1,2019-03-19 01:01:35.274225
Lenape Elementary School,"#15,216 Best Public Elementary Schools in America",New Paltz Central School District,NY,3-5,nan,nan,B+,482,13:1,2019-03-19 01:01:35.274232
Chenango Forks High School,"#4,657 Best Public High Schools in America",Chenango Forks Central School District,NY,9-12,3.5,73,B+,480,14:1,2019-03-19 01:01:35.274238
Kreamer Street Elementary School,"#15,226 Best Public Elementary Schools in America",South Country Central School District,NY,K-3,nan,nan,B+,351,13:1,2019-03-19 01:01:35.274245
The Mott Hall School,"#5,570 Best Public Middle Schools in America",New York City Geographic District No. 6,NY,6-8,3.0,2,B+,276,12:1,2019-03-19 01:01:35.274252
Ridge Mills Elementary School,"#15,263 Best Public Elementary Schools in America",Rome City School District,NY,K-4,nan,nan,B+,293,15:1,2019-03-19 01:01:35.274259
Otego Elementary School,"#15,265 Best Public Elementary Schools in America",Otego-Unadilla Central School District,NY,K-2,nan,nan,B+,208,12:1,2019-03-19 01:01:35.274266
Saunders Trades & Technical High School,"#4,676 Best Public High Schools in America",Yonkers City School District,NY,9-12,4.0,156,B+,"1,165",17:1,2019-03-19 01:01:35.274276
PS 156 - Frederick Law Olmsted,"#4,677 Best Public High Schools in America",Buffalo City School District,NY,5-12,4.0,102,B+,763,12:1,2019-03-19 01:01:35.274283
PS 226 - Alfred De B Mason,"#15,298 Best Public Elementary Schools in America",New York City Geographic District No. 21,NY,"PK, K-8",nan,nan,B+,985,12:1,2019-03-19 01:01:35.274289
New York Harbor School,"#4,684 Best Public High Schools in America",New York City Geographic District No. 2,NY,9-12,3.5,37,B+,428,14:1,2019-03-19 01:01:35.274296
PS 47 The American Sign Language & English Secondary School,"#15,340 Best Public Elementary Schools in America",New York City Geographic District No. 2,NY,"PK, K-8",3.0,5,B+,190,6:1,2019-03-19 01:01:35.274303
IS 230,"#5,633 Best Public Middle Schools in America",New York City Geographic District No. 30,NY,6-8,4.0,1,B+,"1,191",18:1,2019-03-19 01:01:35.274311
Ella Baker School,"#15,393 Best Public Elementary Schools in America",New York City Geographic District No. 2,NY,"PK, K-8",nan,nan,B+,337,14:1,2019-03-19 01:01:35.274317
Bay Shore Middle School,"#5,641 Best Public Middle Schools in America",Bay Shore Union Free School District,NY,6-8,nan,nan,B+,"1,371",14:1,2019-03-19 01:01:35.274324
Matthew Paterson Elementary School,"#15,402 Best Public Elementary Schools in America",Carmel Central School District,NY,K-4,4.5,4,B+,550,15:1,2019-03-19 01:01:35.274330
North Babylon High School,"#4,710 Best Public High Schools in America",North Babylon Union Free School District,NY,9-12,3.5,203,B+,"1,480",14:1,2019-03-19 01:01:35.274337
High School for Community Leadership,"#4,714 Best Public High Schools in America",New York City Geographic District No. 28,NY,9-12,4.5,130,B+,438,15:1,2019-03-19 01:01:35.274344
Lindenhurst Senior High School,"#4,715 Best Public High Schools in America",Lindenhurst Union Free School District,NY,9-12,3.5,264,B+,"2,091",15:1,2019-03-19 01:01:35.274351
PS 15 - Patrick F Daly,"#15,417 Best Public Elementary Schools in America",New York City Geographic District No. 15,NY,"PK, K-5",nan,nan,B+,447,10:1,2019-03-19 01:01:35.274358
Noxon Road Elementary School,"#15,443 Best Public Elementary Schools in America",Arlington Central School District,NY,K-5,nan,nan,B+,349,13:1,2019-03-19 01:01:35.274376
Young Womens Leadership School,"#4,728 Best Public High Schools in America",New York City Geographic District No. 30,NY,6-12,3.5,75,B+,558,16:1,2019-03-19 01:01:35.274384
John M Marshall Elementary School,"#15,479 Best Public Elementary Schools in America",East Hampton Union Free School District,NY,K-5,nan,nan,B+,574,11:1,2019-03-19 01:01:35.274391
